"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 21:51:57 MSK 2024","Wed Jun 26 21:52:02 MSK 2024","4953","lesson_10","requests и SQLAlchemy","","","","Создать сотрудника в компании","Создать сотрудника через API и проверить, что в БД появилась запись о созданном сотруднике"
"passed","Wed Jun 26 21:52:19 MSK 2024","Wed Jun 26 21:52:31 MSK 2024","12407","lesson_10","UI тесты практика","","","","Сложение двух чисел","Сложение двух целых положительных однозначных чисел"
"passed","Wed Jun 26 21:52:58 MSK 2024","Wed Jun 26 21:53:11 MSK 2024","12965","lesson_10","UI тесты практика","","","","Умножение двух чисел","Умножение двух целых положительных однозначных чисел"
"passed","Wed Jun 26 21:51:46 MSK 2024","Wed Jun 26 21:51:52 MSK 2024","6651","lesson_10","requests и SQLAlchemy","","","","Получить всех сотрудников","Получить всех сотрудников конкретной компании из БД и через API и сравнить результат"
"passed","Wed Jun 26 21:52:44 MSK 2024","Wed Jun 26 21:52:58 MSK 2024","13941","lesson_10","UI тесты практика","","","","Деление двух чисел","Целочисленное деление двух положительных целых однозначных чисел"
"passed","Wed Jun 26 21:53:11 MSK 2024","Wed Jun 26 21:53:24 MSK 2024","12768","lesson_10","UI тесты практика","","","","Добавление в корзину трех товаров","Добавление в корзину трех товаров авторизованным пользователем и проверка итоговой суммы покупки"
"passed","Wed Jun 26 21:52:31 MSK 2024","Wed Jun 26 21:52:44 MSK 2024","12560","lesson_10","UI тесты практика","","","","Вычитание двух чисел","Вычитание двух целых положительных однозначных чисел"
"passed","Wed Jun 26 21:52:07 MSK 2024","Wed Jun 26 21:52:19 MSK 2024","12410","lesson_10","UI тесты практика","","","","Незаполнение одного из обязательных полей","Заполнение всех обязательных полей формы, кроме Индекса"
"passed","Wed Jun 26 21:52:02 MSK 2024","Wed Jun 26 21:52:07 MSK 2024","4940","lesson_10","requests и SQLAlchemy","","","","Изменить запись о сотруднике в БД","Изменить запись о сотруднике в БД и проверить, что данные обновились"
"passed","Wed Jun 26 21:51:52 MSK 2024","Wed Jun 26 21:51:57 MSK 2024","4129","lesson_10","requests и SQLAlchemy","","","","Получить сотрудника по id","Получить конкретного сотрудника из БД и через API, проверить, что id совпадают"
